,S207,S327,S352,S364,S365,S366,S404,S413,S429,C006,C343,C363,C374,C376,C430,C227
200000_s_at,-0.3429289599298029,0.002790383636026128,-0.11363893463057195,0.12403724168483699,0.13210076241021884,0.20216642391742212,0.05333363743376829,-0.07581555686771502,0.055621230927121346,0.08214627591490142,0.1252373869942005,-0.4912024907858532,0.35648094657073504,-0.04720154978098101,0.09137904733235747,-0.11215227555353913
200001_at,-0.3419799188904058,0.2375663204696199,-0.0290383459137189,-0.08720214942780835,0.012389477066220067,-0.15312372287014586,-0.22720988690328436,-0.3403576545160485,-0.3511146912940424,0.5837916772017726,-0.10117288180490025,-0.5146835990048944,0.5038974500080426,0.11068241315991667,0.03443266709812587,-0.05762093922454525
200002_at,-0.48872631383126386,0.19461172879517097,-0.025385787667932647,0.07901018647689284,0.5195983603580814,0.34568380581907654,-0.3924657725105378,0.1432062380578767,-0.09643598719665114,0.9440974014860215,0.2564407722707136,-1.0122318060207833,0.9480786763648492,0.4837714245020779,-0.08341225917362483,0.04838750486826715
200003_s_at,-0.13509231861162796,0.04544176383528331,-0.29945342102693573,0.20656389148807008,0.3757528675410313,0.011723890437103535,-0.02731653978414883,-0.06548613595274233,-0.19963456218324893,0.5598333524661898,0.06751976518209446,-0.5393299042387865,0.5580287611689885,-0.015132503363302519,0.07412893795583386,0.24052754800442067
200004_at,-0.08895965507238923,0.12409875308483276,-0.0933181976547175,0.21313351496721555,0.3375841592705964,0.4873248895828102,0.0054993980435318335,-0.26781423714481356,-0.1373409772376606,0.36386183163182295,0.035654553967269464,-0.9875216552937847,0.6444198260757874,0.32775476593477215,0.07744824477086265,-0.21724386731591583
200005_at,-0.36474271772229194,0.11502159858727978,-0.11924382788305099,-0.061407328984188325,0.46972870998876903,0.17104622399942748,-0.14088614964480328,0.024549208439260006,-0.13914506449486197,0.6088984578630132,0.01979146320972891,-0.613684996535028,0.7586671791225745,-0.1057361159519905,-0.04514682551952731,0.015198714923441159
200006_at,-0.3847555467260184,0.2722196849436642,0.16517670390170824,-0.1709163715090316,0.3354212359487363,0.07503537111501135,-0.05058062341858882,0.19041373244839122,-0.2949291191092325,0.4852395202532618,0.0342087401866209,-0.7364242826148439,0.6606805202428534,-0.03439423439260114,-0.1658167646211588,-0.15832037144334699
200007_at,-0.3348965836261302,0.3536408275048961,-0.030294562674452408,-0.0264231779744053,0.22851146744222373,0.2616318287349113,-0.0969398444975047,0.07811849025727025,-0.16692592701052433,0.7659444691366737,0.13686801458835252,-0.7586315858372856,0.8364873222998703,0.10834030326170385,0.055508881749955385,0.07407270670512212
200008_s_at,-0.2273720732827611,0.18291587606607784,0.02492097291767248,0.06903556332369742,-0.11086724585344943,0.20685373987163214,-0.040944417579996895,-0.2829976819931419,-0.2409055033516445,0.3793649564650652,0.011310858809093993,-0.27463347179250874,0.3501649131822635,0.04130529292265006,0.04085068464002095,-0.0535178069901745
200009_at,-0.3053588756566681,0.23177562030567422,-0.004607994525104964,0.010936350666032268,0.25937747680279966,0.17248366320492714,-0.11069161036844744,-0.039201795874605594,-0.15957367436094838,0.6906610201457815,-0.047071967773699264,-0.7074708379948795,0.6820536988696349,0.11811688974245449,0.0016970560379290234,0.06875421379175695
200010_at,-0.43550537309615844,0.35166225163978737,-0.12703873439692082,0.008708180819448685,0.19060849827690074,0.24444985767681882,-0.10656649573027455,0.038525236367797255,-0.2928726195411162,0.8778078569915913,0.18835000166475258,-0.7538555236960631,0.615693854043819,0.004127515712990082,-0.06250004935775966,0.19796470513632158
200011_s_at,-0.14261624872833956,0.10898815729230549,0.0234486864553487,0.1063602979014151,0.23944956326178968,0.1669686570723945,-0.03448701129245091,-0.32364454801246634,-0.18734003499144336,0.2696834888202124,0.04081011531984391,-0.17208883956981502,0.33060202626651236,-0.11278002136214571,0.07522317563180092,-0.06765767887525431
200012_x_at,-0.3102788507595209,0.140036462946318,-0.08322906527313023,0.24683339712912122,0.3033730033284545,0.09696949189068782,-0.11060624613821979,0.057789719516165405,-0.10095695943111416,0.5427148804814212,0.06677499694177946,-0.8107427971780492,0.5923611617835327,0.011400917890799889,0.08464608430126574,0.30304847587827766
200013_at,-0.31961675387238486,0.022646343953589998,0.09333688703561194,0.11164238474697008,0.5858440197604544,0.3664711330141639,-0.008537133411302023,0.17143767185565384,0.0051913927681424,0.655984711107183,0.2344971639912865,-1.0227897156271721,0.7785640227056119,0.040240351429806864,-0.1449139180156136,0.22172924809343897
